BLEU = 0.00, 32.4/6.2/1.2/0.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 1.72, 40.5/4.9/1.1/0.3 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 3.00, 44.2/8.9/2.5/0.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 3.68, 47.1/12.5/3.0/0.8 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 5.65, 50.3/15.9/5.6/1.8 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 4.01, 47.7/13.1/4.0/0.8 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 7.26, 54.1/19.4/7.1/3.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 7.13, 55.9/19.0/7.4/2.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 6.81, 54.8/16.5/7.3/2.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 8.77, 58.9/20.9/9.0/4.3 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 6.64, 56.7/17.0/6.5/2.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 7.60, 53.0/15.7/7.8/4.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 8.15, 56.5/18.2/8.3/4.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 8.59, 55.3/19.0/8.7/4.8 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 10.22, 57.2/20.5/11.6/6.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 8.70, 57.3/18.4/9.1/4.8 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 8.94, 56.4/18.5/9.3/5.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 9.85, 57.3/20.0/10.5/6.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
